stack,embed_sim_threshold,nli_contra_threshold,sparsity_floor,high_severity_sim,sparsecl_alpha,sparsecl_everify,TP,FN,FP,TN,precision_pct,recall_pct,specificity_pct,npv_pct,accuracy_pct,f1_pct,fpr_pct,fnr_pct
spiral_full,0.58,0.94,0.2,0.82,1.0,True,11,29,0,26,100.00,27.50,100.00,47.27,56.06,43.14,0.00,72.50
spiral_full,0.58,0.94,0.35,0.82,1.0,True,11,29,0,26,100.00,27.50,100.00,47.27,56.06,43.14,0.00,72.50
spiral_full,0.5,0.94,0.2,0.82,1.0,True,11,29,0,26,100.00,27.50,100.00,47.27,56.06,43.14,0.00,72.50
spiral_full,0.5,0.94,0.35,0.82,1.0,True,11,29,0,26,100.00,27.50,100.00,47.27,56.06,43.14,0.00,72.50
spiral_full,0.58,0.88,0.2,0.82,1.0,True,11,29,0,26,100.00,27.50,100.00,47.27,56.06,43.14,0.00,72.50
spiral_full,0.58,0.88,0.35,0.82,1.0,True,11,29,0,26,100.00,27.50,100.00,47.27,56.06,43.14,0.00,72.50
spiral_full,0.5,0.88,0.2,0.82,1.0,True,11,29,0,26,100.00,27.50,100.00,47.27,56.06,43.14,0.00,72.50
spiral_full,0.5,0.88,0.35,0.82,1.0,True,11,29,0,26,100.00,27.50,100.00,47.27,56.06,43.14,0.00,72.50
spiral_full,0.58,0.82,0.2,0.82,1.0,True,11,29,0,26,100.00,27.50,100.00,47.27,56.06,43.14,0.00,72.50
spiral_full,0.58,0.82,0.35,0.82,1.0,True,11,29,0,26,100.00,27.50,100.00,47.27,56.06,43.14,0.00,72.50
spiral_full,0.5,0.82,0.2,0.82,1.0,True,11,29,0,26,100.00,27.50,100.00,47.27,56.06,43.14,0.00,72.50
spiral_full,0.5,0.82,0.35,0.82,1.0,True,11,29,0,26,100.00,27.50,100.00,47.27,56.06,43.14,0.00,72.50
spiral_full,0.58,0.75,0.2,0.82,1.0,True,11,29,0,26,100.00,27.50,100.00,47.27,56.06,43.14,0.00,72.50
spiral_full,0.58,0.75,0.35,0.82,1.0,True,11,29,0,26,100.00,27.50,100.00,47.27,56.06,43.14,0.00,72.50
spiral_full,0.5,0.75,0.2,0.82,1.0,True,11,29,0,26,100.00,27.50,100.00,47.27,56.06,43.14,0.00,72.50
spiral_full,0.5,0.75,0.35,0.82,1.0,True,11,29,0,26,100.00,27.50,100.00,47.27,56.06,43.14,0.00,72.50
spiral_full,0.66,0.94,0.2,0.82,1.0,True,8,32,0,26,100.00,20.00,100.00,44.83,51.52,33.33,0.00,80.00
spiral_full,0.66,0.94,0.35,0.82,1.0,True,8,32,0,26,100.00,20.00,100.00,44.83,51.52,33.33,0.00,80.00
spiral_full,0.66,0.88,0.2,0.82,1.0,True,8,32,0,26,100.00,20.00,100.00,44.83,51.52,33.33,0.00,80.00
spiral_full,0.66,0.88,0.35,0.82,1.0,True,8,32,0,26,100.00,20.00,100.00,44.83,51.52,33.33,0.00,80.00
spiral_full,0.66,0.82,0.2,0.82,1.0,True,8,32,0,26,100.00,20.00,100.00,44.83,51.52,33.33,0.00,80.00
spiral_full,0.66,0.82,0.35,0.82,1.0,True,8,32,0,26,100.00,20.00,100.00,44.83,51.52,33.33,0.00,80.00
spiral_full,0.66,0.75,0.2,0.82,1.0,True,8,32,0,26,100.00,20.00,100.00,44.83,51.52,33.33,0.00,80.00
spiral_full,0.66,0.75,0.35,0.82,1.0,True,8,32,0,26,100.00,20.00,100.00,44.83,51.52,33.33,0.00,80.00
spiral_full,0.74,0.94,0.2,0.82,1.0,True,5,35,0,26,100.00,12.50,100.00,42.62,46.97,22.22,0.00,87.50
spiral_full,0.74,0.94,0.35,0.82,1.0,True,5,35,0,26,100.00,12.50,100.00,42.62,46.97,22.22,0.00,87.50
spiral_full,0.74,0.88,0.2,0.82,1.0,True,5,35,0,26,100.00,12.50,100.00,42.62,46.97,22.22,0.00,87.50
spiral_full,0.74,0.88,0.35,0.82,1.0,True,5,35,0,26,100.00,12.50,100.00,42.62,46.97,22.22,0.00,87.50
spiral_full,0.74,0.82,0.2,0.82,1.0,True,5,35,0,26,100.00,12.50,100.00,42.62,46.97,22.22,0.00,87.50
spiral_full,0.74,0.82,0.35,0.82,1.0,True,5,35,0,26,100.00,12.50,100.00,42.62,46.97,22.22,0.00,87.50
spiral_full,0.74,0.75,0.2,0.82,1.0,True,5,35,0,26,100.00,12.50,100.00,42.62,46.97,22.22,0.00,87.50
spiral_full,0.74,0.75,0.35,0.82,1.0,True,5,35,0,26,100.00,12.50,100.00,42.62,46.97,22.22,0.00,87.50
